Symbol,Company,Sector,Subsector,Headquarters,CIK,DateFirstAdded,Source
RF,Regions Financial Corporation,Financials,Regional Banks,"Birmingham, Alabama",1281761,,Wikipedia
RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",720005,,Wikipedia
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",1037038,,Wikipedia
RMD,ResMed,Health Care,Health Care Equipment,"San Diego, California",943819,,Wikipedia
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",1024478,,Wikipedia
ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,"Atlanta, Georgia",84839,,Wikipedia
ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,"Sarasota, Florida",882835,,Wikipedia
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,"Dublin, California",745732,,Wikipedia
RSG,Republic Services,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",1060391,,Wikipedia
RTX,RTX Corporation,Industrials,Aerospace & Defense,"Waltham, Massachusetts",101829,,Wikipedia
RVTY,Revvity,Health Care,Health Care Equipment,"Waltham, Massachusetts",31791,,Wikipedia
SBAC,SBA Communications,Real Estate,Telecom Tower REITs,"Boca Raton, Florida",1034054,,Wikipedia
SBUX,Starbucks,Consumer Discretionary,Restaurants,"Seattle, Washington",829224,,Wikipedia
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,"Westlake, Texas",316709,,Wikipedia
SHW,Sherwin-Williams,Materials,Specialty Chemicals,"Cleveland, Ohio",89800,,Wikipedia
SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",91419,,Wikipedia
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,"Houston, Texas",87347,,Wikipedia
SMCI,Supermicro,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",1375365,,Wikipedia
SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,"Kenosha, Wisconsin",91440,,Wikipedia
SNPS,Synopsys,Information Technology,Application Software,"Sunnyvale, California",883241,,Wikipedia
SO,Southern Company,Utilities,Electric Utilities,"Atlanta, Georgia",92122,,Wikipedia
SOLV,Solventum,Health Care,Health Care Technology,"Saint Paul, Minnesota",1964738,,Wikipedia
SPG,Simon Property Group,Real Estate,Retail REITs,"Indianapolis, Indiana",1063761,,Wikipedia
SPGI,S&P Global,Financials,Financial Exchanges & Data,"New York City, New York",64040,,Wikipedia
SRE,Sempra,Utilities,Multi-Utilities,"San Diego, California",1032208,,Wikipedia
STE,Steris,Health Care,Health Care Equipment,"Dublin, Ireland",1757898,,Wikipedia
STLD,Steel Dynamics,Materials,Steel,"Fort Wayne, Indiana",1022671,,Wikipedia
STT,State Street Corporation,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",93751,,Wikipedia
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",1137789,,Wikipedia
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,"Rochester, New York",16918,,Wikipedia
SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,"Dublin, Ireland",2005951,,Wikipedia
SWK,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components,"New Britain, Connecticut",93556,,Wikipedia
SWKS,Skyworks Solutions,Information Technology,Semiconductors,"Irvine, California",4127,,Wikipedia
SYF,Synchrony Financial,Financials,Consumer Finance,"Stamford, Connecticut",1601712,,Wikipedia
SYK,Stryker Corporation,Health Care,Health Care Equipment,"Kalamazoo, Michigan",310764,,Wikipedia
SYY,Sysco,Consumer Staples,Food Distributors,"Houston, Texas",96021,,Wikipedia
T,AT&T,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",732717,,Wikipedia
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,"Chicago, Illinois",24545,,Wikipedia
TDG,TransDigm Group,Industrials,Aerospace & Defense,"Cleveland, Ohio",1260221,,Wikipedia
TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,"Thousand Oaks, California",1094285,,Wikipedia
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,"Minneapolis, Minnesota",842023,,Wikipedia
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,"Galway, Ireland",1385157,,Wikipedia
TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,"North Reading, Massachusetts",97210,,Wikipedia
TFC,Truist Financial,Financials,Diversified Banks,"Charlotte, North Carolina",92230,,Wikipedia
TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,"Minneapolis, Minnesota",27419,,Wikipedia
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",109198,,Wikipedia
TKO,TKO Group Holdings,Communication Services,Movies & Entertainment,"New York City, New York",1973266,,Wikipedia
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts",97745,,Wikipedia
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",1283699,,Wikipedia
TPL,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production,"Dallas, Texas",1811074,,Wikipedia
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",1116132,,Wikipedia
TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",1389170,,Wikipedia
TRMB,Trimble Inc.,Information Technology,Electronic Equipment & Instruments,"Westminster, Colorado",864749,,Wikipedia
TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",1113169,,Wikipedia
